country_name,country_code,year,gini_ratio,gdp_growth
Netherlands,NLD,01/01/2012,27.6,-1.057037404
Netherlands,NLD,01/01/2013,28.1,-0.1903392
Netherlands,NLD,01/01/2014,28.6,1.419690296
Netherlands,NLD,01/01/2015,28.2,2.260757029
Netherlands,NLD,01/01/2016,..,2.209941516
New Zealand,NZL,01/01/2002,..,5.060591813
New Zealand,NZL,01/01/2003,..,4.540270045
New Zealand,NZL,01/01/2004,..,3.269630137
New Zealand,NZL,01/01/2005,..,3.318905786
New Zealand,NZL,01/01/2006,..,2.572912917
New Zealand,NZL,01/01/2007,..,3.760418087
New Zealand,NZL,01/01/2008,..,-1.545526426
New Zealand,NZL,01/01/2009,..,1.916064648
New Zealand,NZL,01/01/2010,..,0.962157189
New Zealand,NZL,01/01/2011,..,2.69579849
New Zealand,NZL,01/01/2012,..,2.499416581
New Zealand,NZL,01/01/2013,..,2.018009991
New Zealand,NZL,01/01/2014,..,3.544991417
New Zealand,NZL,01/01/2015,..,4.434294944
New Zealand,NZL,01/01/2016,..,3.471456835
Norway,NOR,01/01/2002,..,1.437708805
Norway,NOR,01/01/2003,27.6,0.919841888
Norway,NOR,01/01/2004,31.6,3.959038032
Norway,NOR,01/01/2005,30.6,2.624720535
Norway,NOR,01/01/2006,26.4,2.395092468
Norway,NOR,01/01/2007,27.1,2.985054837
Norway,NOR,01/01/2008,27,0.480792154
Norway,NOR,01/01/2009,26.2,-1.691043611
Norway,NOR,01/01/2010,25.7,0.691663072
Norway,NOR,01/01/2011,25.3,0.971934879
Norway,NOR,01/01/2012,25.7,2.721626792
Norway,NOR,01/01/2013,26.4,1.044389078
Norway,NOR,01/01/2014,26.8,1.975117446
Norway,NOR,01/01/2015,27.5,1.970097786
Norway,NOR,01/01/2016,..,1.091465072
Poland,POL,01/01/2002,..,2.041603894
Poland,POL,01/01/2003,..,3.562471549
Poland,POL,01/01/2004,..,5.135649521
Poland,POL,01/01/2005,..,3.493658515
Poland,POL,01/01/2006,..,6.179603987
Poland,POL,01/01/2007,..,7.034801987
Poland,POL,01/01/2008,..,4.24971147
Poland,POL,01/01/2009,..,2.820259759
Poland,POL,01/01/2010,..,3.606928261
Poland,POL,01/01/2011,..,5.0172352
Poland,POL,01/01/2012,..,1.607906645
Poland,POL,01/01/2013,..,1.391892321
Poland,POL,01/01/2014,..,3.283146264
Poland,POL,01/01/2015,..,3.844593971
Poland,POL,01/01/2016,..,2.864328679
