country;iso3;region;date;gdp_pc;rol_index;pop;epi
Hungary;HUN;Europe;01/01/2016;32457.83;0.57;9814023;84.6
Guatemala;GTM;Americas;01/01/2016;11128.32;0.44;15827690;69.64
Greece;GRC;Europe;01/01/2016;31468.23;0.61;10775971;85.81
Ghana;GHA;Africa;01/01/2016;5628.2;0.58;29554303;58.89
Germany;DEU;Europe;01/01/2016;60181.1;0.84;82348669;84.26
Georgia;GEO;Asia;01/01/2016;15442.96;0.66;3727505;64.96
France;FRA;Europe;01/01/2016;52353.86;0.72;66724104;88.2
Finland;FIN;Europe;01/01/2016;54926.45;0.88;5495303;90.68
Ethiopia;ETH;Africa;01/01/2016;2113.05;0.39;105293228;45.83
Estonia;EST;Europe;01/01/2016;37228.06;0.79;1315790;88.59
El Salvador;SLV;Americas;01/01/2016;9785.32;0.5;6250510;68.07
Ecuador;ECU;Americas;01/01/2016;13623.91;0.46;16439585;66.58
Dominican Republic;DOM;Americas;01/01/2016;18793.75;0.47;10527592;75.32
Denmark;DNK;Europe;01/01/2016;64391.16;0.89;5728010;89.21
Czechia;CZE;Europe;01/01/2016;43986.22;0.75;10566332;84.67
Croatia;HRV;Europe;01/01/2016;30384.48;0.61;4174349;86.98
Cote d'Ivoire;CIV;Africa;01/01/2016;5711.07;0.48;24213622;59.89
Colombia;COL;Americas;01/01/2016;17244.78;0.51;47625955;75.93
China;CHN;Asia;01/01/2016;15485.21;0.49;1387790000;65.1
Chile;CHL;Americas;01/01/2016;28252.16;0.69;18083879;77.67
Canada;CAN;Americas;01/01/2016;54765.3;0.81;36110803;85.06
Cameroon;CMR;Africa;01/01/2016;4713.44;0.38;23711630;57.13
Cambodia;KHM;Asia;01/01/2016;4032.89;0.33;15624584;51.24
Burkina Faso;BFA;Africa;01/01/2016;2163.47;0.49;19275498;43.71
Bulgaria;BGR;Europe;01/01/2016;24999.43;0.55;7127822;83.4
Brazil;BRA;Americas;01/01/2016;17310.74;0.56;206859578;78.9
Botswana;BWA;Africa;01/01/2016;16060.2;0.58;2352416;70.72
Bosnia and Herzegovina;BIH;Europe;01/01/2016;15048.66;0.56;3480986;63.28
Bolivia;BOL;Americas;01/01/2016;9321.59;0.4;11263015;71.09
Belgium;BEL;Europe;01/01/2016;59315.7;0.79;11331422;80.15
Belarus;BLR;Europe;01/01/2016;24846.96;0.54;9469379;82.3
Bangladesh;BGD;Asia;01/01/2016;5719.07;0.41;159784568;41.77
Austria;AUT;Europe;01/01/2016;62865.49;0.84;8736668;86.64
Australia;AUS;Oceania;01/01/2016;55667.92;0.81;24190907;87.22
Argentina;ARG;Americas;01/01/2016;28006.77;0.56;43590368;79.84
Albania;ALB;Europe;01/01/2016;13694.73;0.51;2876101;74.38
Zimbabwe;ZWE;Africa;01/01/2020;3082.92;0.39;15669666;37
Zambia;ZMB;Africa;01/01/2020;3415.19;0.45;18927715;34.7
Viet Nam;VNM;Asia;01/01/2020;12026.81;0.49;96648685;33.4
Uzbekistan;UZB;Asia;01/01/2020;7751.21;0.47;34232050;44.3
Uruguay;URY;Americas;01/01/2020;27626.8;0.71;3429086;49.1
United States;USA;Americas;01/01/2020;67266.19;0.72;331526933;69.3
United Kingdom;GBR;Europe;01/01/2020;48583.76;0.79;67081234;81.3
