country,iso3,region,date, gdp_pc , rol_index , pop 
New Zealand,NZL,Oceania,20150101, 45,170 , 0.8378 , 4,609,400 
Netherlands,NLD,Europe,20150101, 62,545 , 0.8513 , 16,939,923 
Nepal,NPL,Asia,20150101, 3,774 , 0.5245 , 27,610,325 
Myanmar,MMR,Asia,20150101, 5,273 , 0.4138 , 51,483,949 
Morocco,MAR,Africa,20150101, 8,179 , 0.5157 , 34,680,458 
Mongolia,MNG,Asia,20150101, 14,267 , 0.5445 , 2,964,749 
Moldova,MDA,Europe,20150101, 11,691 , 0.4897 , 2,835,978 
Mexico,MEX,Americas,20150101, 21,871 , 0.4827 , 120,149,897 
Malaysia,MYS,Asia,20150101, 27,854 , 0.5515 , 31,068,833 
Malawi,MWI,Africa,20150101, 1,670 , 0.5033 , 16,938,942 
Madagascar,MDG,Africa,20150101, 1,671 , 0.4495 , 24,850,912 
Liberia,LBR,Africa,20150101, 1,732 , 0.4430 , 4,612,329 
Lebanon,LBN,Asia,20150101, 15,152 , 0.4765 , 6,398,940 
Kyrgyz Republic,KGZ,Asia,20150101, 5,678 , 0.4756 , 5,956,900 
Kenya,KEN,Africa,20150101, 4,703 , 0.4440 , 46,851,488 
Kazakhstan,KAZ,Asia,20150101, 31,847 , 0.4975 , 17,542,806 
Jordan,JOR,Asia,20150101, 9,633 , 0.5684 , 9,494,246 
Japan,JPN,Asia,20150101, 43,625 , 0.7888 , 127,141,000 
Jamaica,JAM,Americas,20150101, 9,806 , 0.5699 , 2,794,445 
Italy,ITA,Europe,20150101, 47,189 , 0.6530 , 60,730,582 
Indonesia,IDN,Asia,20150101, 11,007 , 0.5144 , 259,091,970 
India,IND,Asia,20150101, 6,513 , 0.5142 , 1,322,866,505 
Hungary,HUN,Europe,20150101, 31,665 , 0.5835 , 9,843,028 
Honduras,HND,Americas,20150101, 5,777 , 0.4250 , 9,294,505 
Guatemala,GTM,Americas,20150101, 11,019 , 0.4397 , 15,567,419 
Greece,GRC,Europe,20150101, 31,491 , 0.6192 , 10,820,883 
Ghana,GHA,Africa,20150101, 5,573 , 0.5991 , 28,870,939 
Germany,DEU,Europe,20150101, 59,345 , 0.8268 , 81,686,611 
Georgia,GEO,Asia,20150101, 14,937 , 0.6590 , 3,725,276 
France,FRA,Europe,20150101, 51,923 , 0.7517 , 66,548,272 
Finland,FIN,Europe,20150101, 53,578 , 0.8668 , 5,479,531 
Ethiopia,ETH,Africa,20150101, 1,984 , 0.4100 , 102,471,895 
Estonia,EST,Europe,20150101, 36,100 , 0.7899 , 1,315,407 
El Salvador,SLV,Americas,20150101, 9,573 , 0.5081 , 6,231,066 
Ecuador,ECU,Americas,20150101, 13,925 , 0.4687 , 16,195,902 
Dominican Republic,DOM,Americas,20150101, 17,827 , 0.4879 , 10,405,832 
Denmark,DNK,Europe,20150101, 62,855 , 0.8856 , 5,683,483 
Czechia,CZE,Europe,20150101, 42,980 , 0.7406 , 10,546,059 
Croatia,HRV,Europe,20150101, 29,111 , 0.6078 , 4,203,604 
Cote d'Ivoire,CIV,Africa,20150101, 5,468 , 0.4741 , 23,596,741 
Costa Rica,CRI,Americas,20150101, 21,172 , 0.6881 , 4,895,242 
Colombia,COL,Americas,20150101, 17,074 , 0.5119 , 47,119,728 
China,CHN,Asia,20150101, 14,576 , 0.4811 , 1,379,860,000 
Chile,CHL,Americas,20150101, 28,098 , 0.6871 , 17,870,124 
Canada,CAN,Americas,20150101, 54,819 , 0.7885 , 35,704,498 
Cameroon,CMR,Africa,20150101, 4,646 , 0.3921 , 23,012,646 
Cambodia,KHM,Asia,20150101, 3,822 , 0.3548 , 15,417,523 
Burkina Faso,BFA,Africa,20150101, 2,103 , 0.4744 , 18,718,019 
Bulgaria,BGR,Europe,20150101, 24,095 , 0.5623 , 7,177,991 
Brazil,BRA,Americas,20150101, 18,043 , 0.5526 , 205,188,205 
Botswana,BWA,Africa,20150101, 15,288 , 0.6339 , 2,305,171 
Bosnia and Herzegovina,BIH,Europe,20150101, 14,397 , 0.5630 , 3,524,324 
Bolivia,BOL,Americas,20150101, 9,080 , 0.4132 , 11,090,085 
Belize,BLZ,Americas,20150101, 12,221 , 0.4904 , 359,871 
Belgium,BEL,Europe,20150101, 58,871 , 0.7808 , 11,274,196 
Belarus,BLR,Europe,20150101, 25,513 , 0.5338 , 9,461,076 
Bangladesh,BGD,Asia,20150101, 5,405 , 0.4171 , 157,830,000 
Austria,AUT,Europe,20150101, 62,309 , 0.8349 , 8,642,699 
Australia,AUS,Oceania,20150101, 55,015 , 0.8149 , 23,815,995 
Argentina,ARG,Americas,20150101, 28,906 , 0.5248 , 43,131,966 
Albania,ALB,Europe,20150101, 13,234 , 0.5209 , 2,880,703 
Afghanistan,AFG,Asia,20150101, 2,975 , 0.3452 , 33,753,499 
Zimbabwe,ZWE,Africa,20160101, 3,542 , 0.3745 , 14,452,704 
Zambia,ZMB,Africa,20160101, 3,630 , 0.4797 , 16,767,761 
Viet Nam,VNM,Asia,20160101, 9,835 , 0.5130 , 93,126,529 
Uzbekistan,UZB,Asia,20160101, 6,973 , 0.4559 , 31,847,900 
Uruguay,URY,Americas,20160101, 29,131 , 0.7278 , 3,413,766 
United States,USA,Americas,20160101, 65,300 , 0.7413 , 323,071,755 
United Kingdom,GBR,Europe,20160101, 52,372 , 0.8114 , 65,611,593 
United Arab Emirates,ARE,Asia,20160101, 70,110 , 0.6559 , 8,994,263 
Ukraine,UKR,Europe,20160101, 16,072 , 0.4942 , 45,038,236 
Uganda,UGA,Africa,20160101, 2,558 , 0.3910 , 38,748,299 
Turkiye,TUR,Asia,20160101, 26,497 , 0.4363 , 79,277,962 
Tunisia,TUN,Africa,20160101, 12,520 , 0.5348 , 11,685,667 
Trinidad and Tobago,TTO,Americas,20160101, 33,576 , 0.5700 , 1,469,330 
Thailand,THA,Asia,20160101, 19,439 , 0.5177 , 70,607,037 
Tanzania,TZA,Africa,20160101, 3,180 , 0.4705 , 54,401,802 
Sweden,SWE,Europe,20160101, 60,068 , 0.8629 , 9,923,085 
Suriname,SUR,Americas,20160101, 21,999 , 0.5296 , 581,453 
St. Vincent and the Grenadines,VCT,Americas,20160101, 15,102 , 0.6149 , 105,963 
St. Lucia,LCA,Americas,20160101, 21,215 , 0.6454 , 176,413 
St. Kitts and Nevis,KNA,Americas,20160101, 29,437 , 0.6683 , 47,788 
Sri Lanka,LKA,Asia,20160101, 13,706 , 0.5133 , 21,425,494 
Spain,ESP,Europe,20160101, 43,823 , 0.7003 , 46,484,062 
South Africa,ZAF,Africa,20160101, 14,711 , 0.5880 , 56,422,274 
Slovenia,SVN,Europe,20160101, 40,413 , 0.6760 , 2,065,042 
Singapore,SGP,Asia,20160101, 110,928 , 0.8182 , 5,607,283 
Sierra Leone,SLE,Africa,20160101, 1,582 , 0.4461 , 7,493,913 
Senegal,SEN,Africa,20160101, 3,781 , 0.5776 , 14,751,356 
Russian Federation,RUS,Europe,20160101, 35,362 , 0.4575 , 145,015,460 
Romania,ROU,Europe,20160101, 30,378 , 0.6648 , 19,702,267 
Portugal,PRT,Europe,20160101, 36,720 , 0.7165 , 10,325,452 
Poland,POL,Europe,20160101, 32,998 , 0.7179 , 37,970,087 
Philippines,PHL,Asia,20160101, 8,276 , 0.5063 , 104,875,266 
